id_user,recommended_product,creatividad_id,nombre_creatividad,mensaje
1114367,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1070525,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1437442,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1126067,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1008275,credit_card,2,Éxito sin límites,"Tu éxito profesional merece una tarjeta premium. Límites altos, beneficios exclusivos y un servicio pensado para ti"
1104802,credit_card,3,Inteligente y práctico,La tarjeta que se adapta a tu ritmo. Cashback en tus compras del día a día y sin comisiones
1311558,credit_card,2,Éxito sin límites,"Tu éxito profesional merece una tarjeta premium. Límites altos, beneficios exclusivos y un servicio pensado para ti"
1122628,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1065031,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1121475,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1302631,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1297310,credit_card,4,Activo y conectado,Para los que no paran. Gestiona tus gastos desde el móvil y saca partido a cada compra con tu tarjeta easyMoney
1004128,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1405967,credit_card,4,Activo y conectado,Para los que no paran. Gestiona tus gastos desde el móvil y saca partido a cada compra con tu tarjeta easyMoney
1058330,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1134654,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1239560,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1350782,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1237738,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1133077,credit_card,4,Activo y conectado,Para los que no paran. Gestiona tus gastos desde el móvil y saca partido a cada compra con tu tarjeta easyMoney
1307998,credit_card,4,Activo y conectado,Para los que no paran. Gestiona tus gastos desde el móvil y saca partido a cada compra con tu tarjeta easyMoney
1121584,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1306026,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1111523,credit_card,2,Éxito sin límites,"Tu éxito profesional merece una tarjeta premium. Límites altos, beneficios exclusivos y un servicio pensado para ti"
1114440,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1172722,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1211590,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
673382,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1125877,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1246858,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
1003867,credit_card,5,Premium y exclusivo,Accede a un mundo de ventajas exclusivas. Límites sin restricciones y beneficios pensados para quienes lo dan todo
